Country for Scenarios,FAO Country,Unit,Value
Afghanistan,Afghanistan,Head,5022606
Albania,Albania,Head,467318
Algeria,Algeria,Head,1813192
Andorra,,,
,American Samoa,Head,111
Angola,Angola,Head,5044019
Antigua and Barbuda,Antigua and Barbuda,Head,4710
Argentina,Argentina,Head,53928990
Armenia,Armenia,Head,590585
Australia,Australia,Head,26395734
Austria,Austria,Head,1943476
Azerbaijan,Azerbaijan,Head,2482627
Bahamas,Bahamas,Head,739
Bahrain,Bahrain,Head,9844
Bangladesh,Bangladesh,Head,24086000
Barbados,Barbados,Head,10767
Belarus,Belarus,Head,4341500
Belgium,Belgium,Head,2398090
Belize,Belize,Head,117375
Benin,Benin,Head,2462000
,Bermuda,Head,640
Bhutan,Bhutan,Head,298601
Bolivia,Bolivia (Plurinational State of),Head,9556000
Bosnia and Herzegovina,Bosnia and Herzegovina,Head,438006
Botswana,Botswana,Head,1448180
Brazil,Brazil,Head,213523056
,British Virgin Islands,Head,2400
Brunei Darussalam,Brunei Darussalam,Head,681
Bulgaria,Bulgaria,Head,540115
Burkina Faso,Burkina Faso,Head,9788225
Burma,,,
Burundi,Burundi,Head,1110936
,Cabo Verde,Head,29558
Cambodia,Cambodia,Head,2855353
Cameroon,Cameroon,Head,5737585
Canada,Canada,Head,11565000
,Cayman Islands,Head,2124
Cape Verde,,,
Central African Republic,Central African Republic,Head,4679519
Chad,Chad,Head,29063152
Chile,Chile,Head,2939902
China,China,Head,63417928
,"China, Hong Kong SAR",Head,1583
,"China, mainland",Head,63271250
,"China, Taiwan Province of",Head,145095
Colombia,Colombia,Head,25557340
Comoros,Comoros,Head,50797
Congo,Congo,Head,364343
Cook Islands,Cook Islands,Head,112
Costa Rica,Costa Rica,Head,1445782
Cote d'Ivoire,Côte d'Ivoire,Head,1669694
Croatia,Croatia,Head,414125
Cuba,Cuba,Head,3808400
Cyprus,Cyprus,Head,70821
Czech Republic,Czechia,Head,1415770
,Democratic People's Republic of Korea,Head,570231
Democratic Republic of the Congo,Democratic Republic of the Congo,Head,1037536
Denmark,Denmark,Head,1540446
Djibouti,Djibouti,Head,300870
Dominica,Dominica,Head,14071
Dominican Republic,Dominican Republic,Head,3011854
Ecuador,Ecuador,Head,4056796
Egypt,Egypt,Head,4516584
El Salvador,El Salvador,Head,881372
Equatorial Guinea,Equatorial Guinea,Head,5397
Eritrea,Eritrea,Head,2129963
Estonia,Estonia,Head,251900
,Eswatini,Head,615902
Ethiopia,Ethiopia,Head,62599736
,Falkland Islands (Malvinas),Head,4194
,Faroe Islands,Head,1816
Fiji,Fiji,Head,53019
Finland,Finland,Head,882277
France,France,Head,18547082
French Guiana,French Guyana,Head,18191
,French Polynesia,Head,7340
Gabon,Gabon,Head,38145
Gambia,Gambia,Head,464283
Georgia,Georgia,Head,909700
Germany,Germany,Head,11949092
Ghana,Ghana,Head,1879009
Greece,Greece,Head,612961
Greenland,Greenland,Head,165
Grenada,Grenada,Head,4563
,Guadeloupe,Head,77205
,Guam,Head,157
Guatemala,Guatemala,Head,3899989
Guinea,Guinea,Head,7520274
Guinea-Bissau,Guinea-Bissau,Head,733686
Guyana,Guyana,Head,99254
Haiti,Haiti,Head,1508382
Honduras,Honduras,Head,2875477
Hungary,Hungary,Head,870000
Iceland,Iceland,Head,81385
India,India,Head,184464035
Indonesia,Indonesia,Head,16432945
Iran (Islamic Republic of),Iran (Islamic Republic of),Head,5244031
Iraq,Iraq,Head,1996358
Ireland,Ireland,Head,7348500
Israel,Israel,Head,546200
Italy,Italy,Head,5923204
Jamaica,Jamaica,Head,123724
Japan,Japan,Head,3842000
Jordan,Jordan,Head,71648
Kazakhstan,Kazakhstan,Head,7150920
Kenya,Kenya,Head,19635142
Kiribati,,,
"Korea, Democratic People's Republic of",,,
"Korea, Republic of",,,
Kuwait,Kuwait,Head,29072
Kyrgyzstan,Kyrgyzstan,Head,1627296
Lao People's Democratic Republic,Lao People's Democratic Republic,Head,2040907
Latvia,Latvia,Head,405820
Lebanon,Lebanon,Head,81993
Lesotho,Lesotho,Head,496238
Liberia,Liberia,Head,44891
Libyan Arab Jamahiriya,Libya,Head,216101
Liechtenstein,Liechtenstein,Head,5894
Lithuania,Lithuania,Head,676893
Luxembourg,Luxembourg,Head,196127
Madagascar,Madagascar,Head,10329790
Malawi,Malawi,Head,1655517
Malaysia,Malaysia,Head,752547
Maldives,,,
Mali,Mali,Head,11758377
Malta,Malta,Head,14125
Marshall Islands,,,
,Martinique,Head,12965
Mauritania,Mauritania,Head,1912564
Mauritius,Mauritius,Head,3985
Mexico,Mexico,Head,34820271
Micronesia,Micronesia (Federated States of),Head,18023
Monaco,,,
Mongolia,Mongolia,Head,4380879
Montenegro,Montenegro,Head,86539
,Montserrat,Head,10074
Morocco,Morocco,Head,3441000
Mozambique,Mozambique,Head,2020189
,Myanmar,Head,17418364
Namibia,Namibia,Head,2897115
Nepal,Nepal,Head,7376306
Netherlands,Netherlands,Head,3850370
,Netherlands Antilles (former),Head,508
,New Caledonia,Head,83493
New Zealand,New Zealand,Head,10106803
Nicaragua,Nicaragua,Head,5157570
Niger,Niger,Head,14363595
Nigeria,Nigeria,Head,21418189
,Niue,Head,113
,Norfolk Island,Head,
,North Macedonia,Head,256181
Norway,Norway,Head,882350
Oman,Oman,Head,396913
Pakistan,Pakistan,Head,46084000
Palau,,,
,Palestine,Head,31432
Panama,Panama,Head,1558400
Papua New Guinea,Papua New Guinea,Head,93249
Paraguay,Paraguay,Head,13500965
Peru,Peru,Head,5575483
Philippines,Philippines,Head,2553937
Poland,Poland,Head,6201441
Portugal,Portugal,Head,1632000
,Puerto Rico,Head,370625
Qatar,Qatar,Head,14168
,Republic of Korea,Head,3520886
Republic of Moldova,Republic of Moldova,Head,167423
,Réunion,Head,31000
Romania,Romania,Head,2011100
Russia,Russian Federation,Head,18294228
Rwanda,Rwanda,Head,1293768
,"Saint Helena, Ascension and Tristan da Cunha",Head,665
Saint Kitts and Nevis,Saint Kitts and Nevis,Head,2067
Saint Lucia,Saint Lucia,Head,10854
,Saint Pierre and Miquelon,Head,38
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Head,3903
Samoa,Samoa,Head,53151
San Marino,,,
,Sao Tome and Principe,Head,1407
Saudi Arabia,Saudi Arabia,Head,368428
Senegal,Senegal,Head,3615523
Serbia,Serbia,Head,878336
Seychelles,Seychelles,Head,261
Sierra Leone,Sierra Leone,Head,702303
Singapore,Singapore,Head,179
Slovakia,Slovakia,Head,439826
Slovenia,Slovenia,Head,479614
Solomon Islands,Solomon Islands,Head,15446
Somalia,Somalia,Head,4749973
South Africa,South Africa,Head,12789515
South Sudan,South Sudan,Head,12074116
Spain,Spain,Head,6510592
Sri Lanka,Sri Lanka,Head,1110740
Sudan,Sudan,Head,31223000
Suriname,Suriname,Head,34341
Swaziland,,,
Sweden,Sweden,Head,1435450
Switzerland,Switzerland,Head,1543345
Syrian Arab Republic,Syrian Arab Republic,Head,1090000
Tajikistan,Tajikistan,Head,2327531
Thailand,Thailand,Head,4656654
The former Yugoslav Republic of Macedonia,,,
Timor-Leste,Timor-Leste,Head,209104
Togo,Togo,Head,453088
Tonga,Tonga,Head,11933
Trinidad and Tobago,Trinidad and Tobago,Head,36303
Tunisia,Tunisia,Head,649690
Turkey,Turkey,Head,15943586
Turkmenistan,Turkmenistan,Head,2217448
Uganda,Uganda,Head,15767794
Ukraine,Ukraine,Head,3530800
United Arab Emirates,United Arab Emirates,Head,104969
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Head,9892000
United Republic of Tanzania,United Republic of Tanzania,Head,27427658
United States,United States of America,Head,94298000
,United States Virgin Islands,Head,8128
Uruguay,Uruguay,Head,11468000
Uzbekistan,Uzbekistan,Head,12814000
Vanuatu,Vanuatu,Head,176738
Venezuela,Venezuela (Bolivarian Republic of),Head,16960156
Viet Nam,Viet Nam,Head,5802907
,Wallis and Futuna Islands,Head,60
,Western Sahara,Head,
Yemen,Yemen,Head,1792897
Zambia,Zambia,Head,4172422
Zimbabwe,Zimbabwe,Head,5446674
