project_ID,notes,buffer_included,buffer_perc,start_year,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year 26,Year 27,Year 28,Year 29,Year 30,Year 31,Year 32,Year 33,Year 34,Year 35,Year 36,Year 37,Year 38,Year 39,Year 40,Year 41,Year 42,Year 43,Year 44,Year 45,Year 46,Year 47,Year 48,Year 49,Year 50,Year 51,Year 52,Year 53,Year 54,Year 55,Year 56,Year 57,Year 58,Year 59,Year 60,Year 61,Year 62,Year 63,Year 64,Year 65,Year 66,Year 67,Year 68,Year 69,Year 70,Year 71,Year 72,Year 73,Year 74,Year 75,Year 76,Year 77,Year 78,Year 79,Year 80,Year 81,Year 82,Year 83,Year 84,Year 85,Year 86,Year 87,Year 88,Year 89,Year 90,Year 91,Year 92,Year 93,Year 94,Year 95,Year 96,Year 97,Year 98,Year 99,Year 100,Year 101,,,,,
VCS852,"Reported in PDD ""Total VCS Eligible Cumulative GHG Emission Reductions tCO2-e"" on Table 9 on page 38. ",0,10,1996,282682,282683,282682,282682,282682,282683,282682,282682,282682,282683,390777,390777,322985,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS856,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on tabl 1.7 on page 15. ",0,n/a,2010,11777,57313,59927,64392,67257,74589,79520,82116,87290,87814,98835,100865,99808,101101,103708,115151,114919,98839,85847,87147,90034,87198,81626,76110,69881,86566,80649,61595,59069,66270,71852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS868,"Reported in PDD as ""Estimated GHG emissions reductions and removals (tCO2-e)"" on table 3 on page 12. ",0,20,2010,2222049,2222670,2184278,2344471,2261405,2305004,2170089,2075694,2163232,1976375,1937203,1934450,2046513,1964013,2076329,2063281,2078474,2084112,2131214,1968690,2076265,2107481,2108958,2071472,2045776,2234499,1992777,2073294,1948177,1940581,1860136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS872,"Reported in PDD as ""Calculated Annual VCUs for the Afognak Project"" on Table 14 on page 92. ",1,13,2006,84323,84323,84323,84323,92346,97697,97697,97697,97697,113747,20443,20443,20443,20443,35931,14813,14813,14813,14813,29315,9733,9733,9733,9733,22937,0,0,0,0,11224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS875,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1.7 on page 18.",0,13.5,2009,677971,994628,981512,967543,986304,986642,986642,986642,987421.4,987421.4,987590,987590,987590,987590,987590,987590,1005366,1025142,1025908,1025908,1026077,1026077,1026077,1026077,1026077,1026077,1026077,1026077,1026077,1026077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS878,"Reported in PDD (Project Description) as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1.7 on page 11. ",0,n/a,2008,41312,45146,45146,45146,45146,45146,45146,3834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS886,"Reported in Validation Report as ""Total Estimated Emissions Reductions"" on table 3.1.4 on page 8. It is to be noted that the table does not report the units in which the emissions are recorded.",n/a,20,2010,0.03,0.3,1,3,6,12,20,32,48,68,95,128,169,219,278,347,429,524,632,756,897,1055,1233,1432,1652,1896,2165,2460,2784,3137,3521,3938,4390,4878,5404,5970,6577,7228,7924,8667,9460,10303,11200,12152,13161,14229,15359,16552,19137,20534,22003,23547,25168,26868,28649,30515,32467,34507,36640,38866,41188,43609,46132,48759,51493,54336,57291,60361,63548,66735,69923,73110,76297,79485,82672,85859,89047,92234,95421,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS888,"Reported in PDD as ""Estimation of annual emission reductions in tonnes of CO2 e"" on table A.4.3 on page 8.",0,n/a,2009,10767,10767,10767,10767,10767,10767,10767,10767,10767,10767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS889,"Reported in PDD as ""Annual estimation of emission reductions in tonnes of CO2e"" on Table A3 on page 13. ",0,n/a,2009,29024,43535,43535,43535,43535,43535,43535,14511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS898,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 2 on page 4. ",n/a,n/a,2010,52089,52089,52089,52089,52089,52089,52089,52089,52089,52089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS899,"Reported in PDD as ""Annual estimation of emission reductions in tonnes of CO2e"" on Section 1.7 on page 5. ",0,n/a,2004,1391,10395,37296,88946,154360,208902,251629,275473,278546,279936,279904,278326,276688,273581,264602,256831,255100,264699,270674,272675,274348,274348,274348,274348,274302,273648,271520,268219,266087,267136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS902,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 7. ",0,16.5,2012,6896913,7030303,7187083,7365343,7414472,7431841,7423208,7393285,7345932,7284309,7211002,7128129,7037423,6940306,6837939,6731274,6621089,6508024,6392599,6275243,6156306,6036074,5914783,5792623,5669753,5546302,5422374,5298056,5173419,5048521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS904,"Reported in PDD as ""Estimated GHG Emission Reductions tCO2e"" on table 2 on page 10. ",0,19.75,2008,34844,68209,99627,134965,166655,187670,226106,259594,268316,273250,286316,306805,340920,369155,390825,391063,365856,363430,347786,343892,307173,294201,295645,283587,308188,328596,316648,300142,285509,242896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS919,"Reported in PDD as ""Annual Estimates of net emission reductions (tCO2)",0,10,2012,574,367,415,469,528,666,730,795,859,923,960,1017,1070,1118,1160,1161,1191,1215,1232,1244,1081,1082,1077,1067,1052,1022,999,973,943,911,882,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS920,No Documents available ,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS922,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 5. ",0,n/a,2006,4070,7084,7277,8731,11725,11725,11725,11725,11725,11725,11725,11725,11725,11725,-25186,-16981,9104,-23174,-36445,11725,11436,11226,11226,11155,11021,11021,11021,11021,-25891,-17685,8400,-23878,-37150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS934,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 2 on page 10. ",0,n/a,2011,1252975,1655859,2205056,2749672,3408489,4289009,4851662,5712250,6532650,7505356,8782906,8700475,9141433,9326618,9817918,10890571,8820771,8456963,7784827,7831048,8592010,5306607,5316325,5107408,4400021,4999380,2646989,2475530,2309641,3307692,1640991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS944,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1.7 on page 13.",0,10,2009,474136,453796,425688,468496,467040,477566,502990,555762,634553,691138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS953,"Reported in PDD  as ""Estimated GHG emission reductions or removals (tCO2e)*"" on table 1.7 on page 7. ",0,10,2011,7601,11706,12048,12391,12734,13077,13419,13762,14105,14448,14448,14448,14448,14448,4638,2789,2446,2103,1761,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS956,"Reported in PDD as ""Estimation of annual emission reductions in tonnes of CO2 e"" on table A.4.3 on page 9.",0,n/a,2009,11337,12342,12342,12342,12342,12342,12342,12342,12342,12342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS958,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 10. ",0,10,2011,11714,26614,39844,51983,70330,77170,86138,88243,88732,90169,103249,114548,126402,140426,153229,157362,178834,187657,205421,216184,235543,243961,246730,267597,271037,287790,297985,302086,319533,315741,329606,346292,360270,374976,366119,393377,395075,388806,426108,405990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS959,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" ",0,n/a,2006,3128,20498,80697,414306,573861,691379,783242,937138,493100,506262,541448,853148,718617,156611,156788,407551,877639,651238,-152042,-56544,170339,754367,577165,179156,-3165964,-2620334,-1740208,705873,346848,1105860,553019,568561,613422,1000940,833370,134441,133228,447794,1031617,749514,-249940,-132639,156655,902981,700815,218898,-3944142,-3266852,-2160043,879377,431358,1377266,688657,707176,764097,1246131,1037381,167749,164804,558911,1284529,932988,-311043,-166562,196643,1124484,872488,271915,-4918053,-4203111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS960,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 5. numbers don’t match *checked twice",0,n/a,2006,37277,212894,486207,668227,810604,902422,847996,785569,772363,634177,148829,-57589,105812,-84348,434356,539668,238554,-1017346,-1245241,-685268,-1049216,126156,431572,580272,725770,658064,699780,176765,10503,172641,-31333,456810,198399,-1027044,-1324600,-687013,-1181716,130151,526381,731944,707366,785912,539135,-72278,-200040,148321,-106027,505384,323188,-900783,-1209502,-642734,-1076447,165800,515431,647218,708952,645013,546670,40838,-42543,108929,-21496,351832,42513,-1145467,-1248999,-690562,-964668,277073,699250,767607,757844,760346,581965,24364,-135735,103229,-168532,348679,156326,-953569,-1276999,-634350,-1186886,14313,402915,679206,608904,775714,664072,161165,1983,175395,-20970,436245,197196,-990208,-1244660,-740027,,,,,,
VCS961,"Reported in PDD ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 5. numbers don’t match *checked twice",0,n/a,2010,6143,148368,301543,165180,106240,182185,155976,127632,107656,-90263,-164852,117944,120434,132874,133425,131309,144999,214937,268343,273645,293241,244096,226488,259686,158877,-1354106,-1979477,233091,152601,93661,169606,143397,115053,95077,-102842,-177431,105365,107855,120295,120846,118730,132420,202358,255764,445921,553299,250513,226069,259229,-25413,-1620910,-1974555,233091,152601,93661,169606,143397,115053,95077,-102842,-177431,105365,107855,120295,120846,118730,318114,471104,262179,260405,285076,243397,226069,259229,-25413,-1620910,-1974555,233097,152601,93661,169606,143397,115053,95077,-102842,-177431,105365,107855,120295,120846,118730,132420,202358,255764,261066,285719,243902,226488,259686,158877,-1354106,-1967477,233091,,,
VCS962,"Reported in PDD ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 5. numbers don’t match *checked twice",0,n/a,2008,4704,123237,456168,442301,448269,610309,499857,457284,433256,242845,-149955,159856,43040,162620,335900,382134,419508,506319,623990,696291,805059,839694,758695,863849,658842,-519721,-3416168,-943067,-1844098,-1283450,105106,262854,417683,393656,203244,-189555,120256,3440,123019,296300,342534,379908,466719,584389,798235,1264035,1021272,1042981,1073526,574921,-989009,-3620453,-1243768,-2062609,-1343675,80098,262854,417683,292656,203244,-189555,120256,3440,123019,296300,342534,522094,963631,788831,958453,987930,876340,765698,853793,514353,-1014149,-3620453,-1243768,-2062609,-1343675,80098,262854,417683,393656,203244,-189555,120256,3440,123019,296300,342534,379908,466719,584389,656690,769331,817505,742103,855510,656501,-520408,-3416168,-943067,-1844098,-1283450,105106
VCS963,"Reported in PDD as ""Estimated GHG emission reductions (tCO2e)"" on table 1.7 on page 9. ",0,10,2011,57243,69273,65490,81057,112394,94195,100320,88949,112025,117733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS965,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1 on page 5.  numbers don’t match *checked twice",0,n/a,2007,190,2585,6090,42108,36873,41353,61410,65886,70731,64126,67644,-168365,47195,57462,-24557,23978,44846,53540,75935,65118,63378,-190695,49603,68572,-53761,25618,47786,43282,47552,43764,53521,24447,-560465,59114,61024,-176729,22423,68330,73655,66400,72265,-164337,47529,59028,-21590,23911,45147,54708,79301,67437,67710,-186334,53157,73976,-49967,29803,52413,47481,52171,48020,58732,22885,-664131,60640,63395,-216710,14974,68330,73655,66400,72265,-164337,47529,59028,-21590,23911,45147,54708,79301,67437,67710,-186334,53157,73976,-49967,29803,52413,47481,52171,48020,58732,22885,-664131,60640,63395,-216710,14974,68330,73655,66400,,,,,,
VCS977,"Reported in PDD as ""Ex Ante estimated net anthropogenic GHG emission reductions or removals (tCO2e)"" on table 65 on page 156.  ",1,13.5,2009,369828,508205,587878,572931,538552,469351,484563,439778,417913,392984,370637,366268,346647,313586,329874,330550,322778,320435,318566,322125,337476,332664,396195,417799,416320,451695,454769,471828,558804,630761,646248,756492,724760,607987,640147,640626,644357,646226,652887,643045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS981,"Reported on Table 65 on page 156, ex ante VCUs tradeable used",1,15.3,2009,213899,273651,265126,239116,208239,175293,168234,169712,149797,135043,116580,94204,104799,92862,86098,82250,87862,84414,111736,153144,171693,207020,241061,283642,297442,329699,368039,414364,417750,413843,405487,391231,359914,302939,288305,280677,246557,246794,247471,236601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS985,"Reported in PDD in ""Estimated net GHG emissionreductions or removals (tCO2e)"" on table 3.35 on page 133. ",1,10,2009,997497,1066047,726995,876887,1109247,1473343,1846955,2215939,2524164,2915610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS987,"Reported in PDD as ""Estimated GHG emission reduction or removals (tCO2e)"" on table 1 on page 7.",0,n/a,2011,1457,7791,15772,27103,41929,53878,63203,71785,73309,62719,46782,29896,3848,3615,3412,3234,3077,2936,2810,2695,2481,2313,2022,1943,1869,1801,1737,1678,1623,1572,1523,1478,1435,1395,1357,1321,1286,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS993,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1.7 on page 5. ",0,n/a,2003,44,640,1947,5061,9946,13860,19104,24364,26636,26228,24523,23049,23834,21769,21206,22846,24105,23744,23979,23743,24355,24393,24393,24370,24095,23467,20192,17840,19629,16886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS994,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)""  on table 1.7 on page 5. ",0,n/a,2005,58,360,2341,4927,8734,11538,13185,13174,13193,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,13195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS995,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on table 1.7 on page 5. ",0,n/a,2006,1535,5995,7200,7412,9642,9820,9820,8642,6251,8320,8967,7399,8758,8878,8878,8878,8878,8878,8878,8878,8878,8878,8878,6607,2185,6726,8122,5124,8020,8273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS996,"Reported in PDD as ""Estimated GHG emission reductions or removal (tcO2e)"" on table 1.7 on page 5. ",0,n/a,2004,206,3939,12889,33877,57944,76630,90924,103428,106042,106385,106709,105798,104918,103484,101439,95014,97604,100919,102927,103065,104127,104127,104127,104127,104124,103647,103548,101976,100239,100718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1015,No Documents available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1047,"Reported on Table 36 on page 132, ex ante estimated net anthropogenic GHG emission reductions (used column ex ante VCUs tradeable)",1,21,2008,6348,19003,40221,61845,87489,148297,225989,316626,428469,485204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1052,No PDD but used Verification Report for 2012 to fill some data in (This is why there is only one year of data shown,1,21,2012,56209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1055,"Reported in PDD as ""Ex-ante estimation"" on table 3.8 on page 43-44. ",1,10,2004,2515,10247,20015,30391,41851,52806,58835,62476,75240,82366,70521,40092,23031,25229,29641,33090,16208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1060,"Reported in PDD as ""Summary of GHG Emission Reductions and Removals"" on section 3.4 on page 35-36 Using Estimated GHG emissions after 10% risk deduction. ",1,10,2012,22027,34884,32295,32295,32295,32295,32295,32295,32295,32295,27571,27233,27213,27213,27213,27213,27213,27213,27213,27213,19749,17118,19509,19509,19509,19509,19509,19509,19509,19509,0,10041,9135,9135,9135,9135,9135,9135,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1067,"Reported in PDD as ""Voluntary Carbon Units"" on Table 47 on page 102 Using Voluntary Carbon Units after 13% risk deduction. ",1,13,2010,144395.4,195248.8,266188.1,309533.2,356487.9,465192,491863.2,494744.8,618713.2,640060.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1071,"Reported in PDD as ""Project Scale and Estimated GHG Emission Reductions or Removals"" on section 1.7 on page 6. ",0,n/a,2009,-713,26,73,233,877,2086,3832,5928,7004,6578,5103,3463,2948,2986,2843,2500,2058,1889,1583,1078,370,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1085,"Reported in PDD as ""Available VCUs after buffer and until long term average is achieved"" on Table 11 on page 78. ",1,10,2012,126178.38,71351.01,141718.41,137200.95,100208.43,55824.39,16655.85,0,0,98507.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1094,"Reported in PDD as ""Ex Ante estimated net anthropogenic GHG emission reductions"" on Table 66 on page 97-98 using VCUs tradeable",1,34,2003,41143,37631,28210,47759,46401,48849,47497,47489,38190,61897,53157,43425,4878,55430,40259,19815,161736,8977,83729,36913,47799,59666,74420,6706,80567,44706,33821,51275,74332,5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1112,"Reported in PDD as ""Ex Ante estimated net  emission reduction credits"" on Table 3.33 on page 85 using GHG credits eligible for issuance as VCUs",1,10,2012,18030,101726,131428,127693,136500,121211,137890,141665,133424,151906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS1113,"Reported in PDD as ""Ex Ante estimated net  emission reduction credits"" on Table 3.33 on page 83 using GHG credits eligible for issuance as VCUs",1,10,2012,38780,183460,179569,182449,163018,152243,163474,159182,149560,166798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
